"FacilityID","GEOJSON"
"233957","{'COORDINATES': [-112.1569444, 35.2811111], 'TYPE': 'Point'}"
"233955","{'COORDINATES': [-112.0172222, 35.1152778], 'TYPE': 'Point'}"
"251846","{'COORDINATES': [-112.5591667, 34.59], 'TYPE': 'Point'}"
"250019","{'COORDINATES': [-109.162348894, 31.898555546], 'TYPE': 'Point'}"
"275045","{'COORDINATES': [-112.1613889, 34.00388889], 'TYPE': 'Point'}"
"250901","{'COORDINATES': [-109.3552778, 32.0111111], 'TYPE': 'Point'}"
"233226","{'COORDINATES': [-110.4527778, 31.4338889], 'TYPE': 'Point'}"
"232143","{'COORDINATES': [-111.7763889, 34.8436111], 'TYPE': 'Point'}"
"261843","{'COORDINATES': [-114.136724, 34.300454], 'TYPE': 'Point'}"
"232284","{'COORDINATES': [-110.6911111, 32.395], 'TYPE': 'Point'}"
"202059","{'COORDINATES': [-113.04543, 33.02437], 'TYPE': 'Point'}"
"232196","{'COORDINATES': [-109.4130556, 33.8730556], 'TYPE': 'Point'}"
"232320","{'COORDINATES': [-111.7380556, 35.0125], 'TYPE': 'Point'}"
"232299","{'COORDINATES': [-111.8055556, 34.8291667], 'TYPE': 'Point'}"
"241550","{'COORDINATES': None, 'TYPE': '}"
"241551","{'COORDINATES': [-109.972778, 34.1544], 'TYPE': 'Point'}"
"264749","{'COORDINATES': [-111.6208, 35.3586], 'TYPE': 'Point'}"
"234439","{'COORDINATES': [-111.9583333, 35.3569444], 'TYPE': 'Point'}"
"270420","{'COORDINATES': [-112.1537222, 34.7093861], 'TYPE': 'Point'}"
"237968","{'COORDINATES': [-112.38518, 34.519234], 'TYPE': 'Point'}"
"233223","{'COORDINATES': [-110.6958333, 32.335], 'TYPE': 'Point'}"
"233398","{'COORDINATES': [-109.8744444, 32.6669444], 'TYPE': 'Point'}"
"233234","{'COORDINATES': [-109.8711111, 32.6636111], 'TYPE': 'Point'}"
"232197","{'COORDINATES': [-109.4586111, 34.0433333], 'TYPE': 'Point'}"
"233222","{'COORDINATES': [-110.7163889, 32.5383333], 'TYPE': 'Point'}"
"241549","{'COORDINATES': [-109.298183, 33.050897], 'TYPE': 'Point'}"
"249308","{'COORDINATES': [-111.087959, 33.666696], 'TYPE': 'Point'}"
"250033","{'COORDINATES': [-110.715138053, 32.409923715], 'TYPE': 'Point'}"
"237912","{'COORDINATES': [-112.46902, 34.53658], 'TYPE': 'Point'}"
"232489","{'COORDINATES': [-112.0605556, 36.2102778], 'TYPE': 'Point'}"
"232147","{'COORDINATES': [-111.4633333, 35.03], 'TYPE': 'Point'}"
"261712","{'COORDINATES': [-112.75063, 32.23948], 'TYPE': 'Point'}"
"232209","{'COORDINATES': [-112.4533333, 34.4552778], 'TYPE': 'Point'}"
"233177","{'COORDINATES': [-109.9553866, 31.94635473], 'TYPE': 'Point'}"
"272095","{'COORDINATES': [-110.829, 33.3350556], 'TYPE': 'Point'}"
"241548","{'COORDINATES': [-110.493621, 34.382867], 'TYPE': 'Point'}"
"253995","{'COORDINATES': [-112.3983448, 32.9252994], 'TYPE': 'Point'}"
"234529","{'COORDINATES': [-112.2097222, 36.7], 'TYPE': 'Point'}"
"234680","{'COORDINATES': [-111.5205139, 34.7112917], 'TYPE': 'Point'}"
"267559","{'COORDINATES': [-111.8658111, 33.97525], 'TYPE': 'Point'}"
"10000330","{'COORDINATES': [-113.86918, 35.0613], 'TYPE': 'Point'}"
"231884","{'COORDINATES': [-109.0819444, 33.8352778], 'TYPE': 'Point'}"
"233956","{'COORDINATES': [-112.1238333, 35.2111667], 'TYPE': 'Point'}"
"247799","{'COORDINATES': [-113.553394, 34.234382], 'TYPE': 'Point'}"
"233224","{'COORDINATES': [-110.2905556, 31.4291667], 'TYPE': 'Point'}"
"266135","{'COORDINATES': [-111.1285556, 33.6668056], 'TYPE': 'Point'}"
"237997","{'COORDINATES': [-112.04328, 34.58853], 'TYPE': 'Point'}"
"241552","{'COORDINATES': [-109.78965, 34.18596667], 'TYPE': 'Point'}"
"250775","{'COORDINATES': [-110.943983, 34.333655], 'TYPE': 'Point'}"
"234626","{'COORDINATES': [-109.8258333, 32.6444444], 'TYPE': 'Point'}"
"273335","{'COORDINATES': [-112.3826083, 34.5080167], 'TYPE': 'Point'}"
"232193","{'COORDINATES': [-110.8266667, 34.3233333], 'TYPE': 'Point'}"
"233227","{'COORDINATES': [-109.3580556, 31.7536111], 'TYPE': 'Point'}"
"275056","{'COORDINATES': [-113.2966667, 33.72944444], 'TYPE': 'Point'}"
"233178","{'COORDINATES': [-109.961709093, 31.931233885], 'TYPE': 'Point'}"
"234459","{'COORDINATES': [-111.8497222, 35.0163889], 'TYPE': 'Point'}"
"234456","{'COORDINATES': [-111.7378889, 35.4222], 'TYPE': 'Point'}"
"233402","{'COORDINATES': [-110.872841704, 31.717940889], 'TYPE': 'Point'}"
"237976","{'COORDINATES': [-112.135947, 34.691158], 'TYPE': 'Point'}"
"232289","{'COORDINATES': [-111.5866667, 35.2733333], 'TYPE': 'Point'}"
"232205","{'COORDINATES': [-110.9391667, 34.3286111], 'TYPE': 'Point'}"
"233400","{'COORDINATES': [-109.8186111, 32.6494444], 'TYPE': 'Point'}"
"12812","{'COORDINATES': [-114.47322, 32.67819], 'TYPE': 'Point'}"
"272097","{'COORDINATES': [-110.5718528, 33.6881333], 'TYPE': 'Point'}"
"238003","{'COORDINATES': [-112.217617, 35.237347], 'TYPE': 'Point'}"
"249312","{'COORDINATES': [-111.203798, 33.73151], 'TYPE': 'Point'}"
"241562","{'COORDINATES': [-109.480975, 33.47531667], 'TYPE': 'Point'}"
"233887","{'COORDINATES': [-111.9702778, 34.3519444], 'TYPE': 'Point'}"
"233221","{'COORDINATES': [-111.0519444, 31.385], 'TYPE': 'Point'}"
"249291","{'COORDINATES': [-111.01216, 33.650217], 'TYPE': 'Point'}"
"237979","{'COORDINATES': [-112.3361, 34.2106], 'TYPE': 'Point'}"
"234287","{'COORDINATES': [-111.7416667, 34.9416667], 'TYPE': 'Point'}"
"234564","{'COORDINATES': [-110.7319444, 32.4119444], 'TYPE': 'Point'}"
"232200","{'COORDINATES': [-109.4038889, 33.8763889], 'TYPE': 'Point'}"
"10074565","{'COORDINATES': [-109.358, 33.791], 'TYPE': 'Point'}"
"274288","{'COORDINATES': [-114.21505, 34.2108778], 'TYPE': 'Point'}"
"232490","{'COORDINATES': [-112.1204694, 36.0497222], 'TYPE': 'Point'}"
"251964","{'COORDINATES': [-112.5386944, 34.6024722], 'TYPE': 'Point'}"
"233219","{'COORDINATES': [-110.8161111, 32.3188889], 'TYPE': 'Point'}"
"234488","{'COORDINATES': [-112.1230556, 35.9369444], 'TYPE': 'Point'}"
"237904","{'COORDINATES': [-112.548838, 34.614208], 'TYPE': 'Point'}"
"234550","{'COORDINATES': [-112.4352778, 34.4708333], 'TYPE': 'Point'}"
"234627","{'COORDINATES': [-109.8258333, 32.6444444], 'TYPE': 'Point'}"
"264716","{'COORDINATES': [-111.7639, 34.8696], 'TYPE': 'Point'}"
"250027","{'COORDINATES': [-109.160856021, 31.900872603], 'TYPE': 'Point'}"
"232203","{'COORDINATES': [-110.9363889, 34.3319444], 'TYPE': 'Point'}"
"262678","{'COORDINATES': [-114.497011, 32.907378], 'TYPE': 'Point'}"
"234759","{'COORDINATES': [-112.4413889, 34.465], 'TYPE': 'Point'}"
"232190","{'COORDINATES': [-110.9458333, 34.3266667], 'TYPE': 'Point'}"
"241547","{'COORDINATES': [-109.231, 33.737], 'TYPE': 'Point'}"
"241582","{'COORDINATES': [-109.358, 33.791], 'TYPE': 'Point'}"
"233233","{'COORDINATES': [-109.8711111, 32.6636111], 'TYPE': 'Point'}"
"10000305","{'COORDINATES': [-113.45188, 34.53605], 'TYPE': 'Point'}"
"233220","{'COORDINATES': [-110.8161111, 32.3188889], 'TYPE': 'Point'}"
"251764","{'COORDINATES': [-110.9774722, 33.8723056], 'TYPE': 'Point'}"
"234708","{'COORDINATES': [-109.4166667, 33.8689333], 'TYPE': 'Point'}"
"233888","{'COORDINATES': [-111.8019444, 34.8252778], 'TYPE': 'Point'}"
"232194","{'COORDINATES': [-111.7391667, 34.9963889], 'TYPE': 'Point'}"
"232195","{'COORDINATES': [-109.4183333, 33.8722222], 'TYPE': 'Point'}"
"233242","{'COORDINATES': [-111.9463889, 35.9680556], 'TYPE': 'Point'}"
"249254","{'COORDINATES': [-111.203326, 33.627381], 'TYPE': 'Point'}"
"232208","{'COORDINATES': [-112.285, 34.1738889], 'TYPE': 'Point'}"
"253991","{'COORDINATES': [-113.204, 36.318], 'TYPE': 'Point'}"
"241560","{'COORDINATES': [-110.983675, 34.37996111], 'TYPE': 'Point'}"
"251825","{'COORDINATES': [-112.5469444, 36.585], 'TYPE': 'Point'}"
"253996","{'COORDINATES': [-112.5286386, 33.1030141], 'TYPE': 'Point'}"
"234762","{'COORDINATES': [-112.3902778, 34.5175], 'TYPE': 'Point'}"
"232191","{'COORDINATES': [-109.4486111, 34.0441667], 'TYPE': 'Point'}"
"237913","{'COORDINATES': [-111.847472, 34.549514], 'TYPE': 'Point'}"
"233928","{'COORDINATES': [-111.5330556, 35.3616667], 'TYPE': 'Point'}"
"238017","{'COORDINATES': [-112.525663, 36.942483], 'TYPE': 'Point'}"
"232204","{'COORDINATES': [-109.4841667, 33.9652778], 'TYPE': 'Point'}"
"232285","{'COORDINATES': [-110.7205556, 32.4083333], 'TYPE': 'Point'}"
"233399","{'COORDINATES': [-109.8494444, 32.5916667], 'TYPE': 'Point'}"
"232207","{'COORDINATES': [-112.5213889, 34.5522222], 'TYPE': 'Point'}"
"233953","{'COORDINATES': [-110.9416667, 34.3163889], 'TYPE': 'Point'}"
"232192","{'COORDINATES': [-109.4130556, 33.8755556], 'TYPE': 'Point'}"
"234515","{'COORDINATES': [-109.3691667, 33.7463889], 'TYPE': 'Point'}"
"237996","{'COORDINATES': [-112.4994, 34.4951], 'TYPE': 'Point'}"
"238013","{'COORDINATES': [-112.122077, 35.988962], 'TYPE': 'Point'}"
"264715","{'COORDINATES': [-111.3152, 34.5503], 'TYPE': 'Point'}"
"264714","{'COORDINATES': [-111.662, 35.172], 'TYPE': 'Point'}"
"271988","{'COORDINATES': [-109.411619, 33.874589], 'TYPE': 'Point'}"
"233306","{'COORDINATES': [-112.3872222, 34.5102778], 'TYPE': 'Point'}"
"256933","{'COORDINATES': [-112.4776806, 34.5061694], 'TYPE': 'Point'}"
"234077","{'COORDINATES': [-112.2925, 34.1613889], 'TYPE': 'Point'}"
"237915","{'COORDINATES': [-112.4597463, 34.45457872], 'TYPE': 'Point'}"
"200028","{'COORDINATES': [-109.7587106, 33.9933802], 'TYPE': 'Point'}"
"232144","{'COORDINATES': [-111.48, 34.9583333], 'TYPE': 'Point'}"
"232206","{'COORDINATES': [-112.1361111, 34.6983333], 'TYPE': 'Point'}"
"266136","{'COORDINATES': [-111.0465472, 33.6437917], 'TYPE': 'Point'}"
"231885","{'COORDINATES': [-110.2402778, 34.2861111], 'TYPE': 'Point'}"
"234722","{'COORDINATES': [-112.1347222, 36.4111111], 'TYPE': 'Point'}"
"233169","{'COORDINATES': [-110.741566513, 31.744338649], 'TYPE': 'Point'}"
"264781","{'COORDINATES': [-111.536951, 35.089992], 'TYPE': 'Point'}"
"201883","{'COORDINATES': [-114.477136, 32.902916], 'TYPE': 'Point'}"
"264724","{'COORDINATES': [-111.093646, 34.426216], 'TYPE': 'Point'}"
"241578","{'COORDINATES': [-110.0613278, 34.27309167], 'TYPE': 'Point'}"
"257029","{'COORDINATES': [-110.661225, 38.65677222], 'TYPE': 'Point'}"
"233719","{'COORDINATES': [-110.6997222, 40.5605556], 'TYPE': 'Point'}"
"235069","{'COORDINATES': [-112.251, 38.831], 'TYPE': 'Point'}"
"251843","{'COORDINATES': [-109.6334111, 38.57575], 'TYPE': 'Point'}"
"252621","{'COORDINATES': [-111.1563, 39.5068], 'TYPE': 'Point'}"
"233892","{'COORDINATES': [-111.2733333, 39.4466667], 'TYPE': 'Point'}"
"14493","{'COORDINATES': [-109.585018, 38.556491], 'TYPE': 'Point'}"
"257093","{'COORDINATES': [-113.3851635, 37.22863117], 'TYPE': 'Point'}"
"202206","{'COORDINATES': [-111.1846, 41.303], 'TYPE': 'Point'}"
"247316","{'COORDINATES': [-111.654881, 41.773639], 'TYPE': 'Point'}"
"239103","{'COORDINATES': None, 'TYPE': '}"
"245334","{'COORDINATES': [-113.557, 37.486], 'TYPE': 'Point'}"
"234302","{'COORDINATES': [-112.0896556, 39.0152389], 'TYPE': 'Point'}"
"14507","{'COORDINATES': [-109.602914, 38.480648], 'TYPE': 'Point'}"
"234751","{'COORDINATES': [-109.2530556, 40.4406611], 'TYPE': 'Point'}"
"238999","{'COORDINATES': [-111.07291, 43.17134], 'TYPE': 'Point'}"
"272266","{'COORDINATES': [-112.9855556, 37.2016667], 'TYPE': 'Point'}"
"251840","{'COORDINATES': [-109.422438, 38.476947], 'TYPE': 'Point'}"
"243872","{'COORDINATES': [-119.767199, 39.15203], 'TYPE': 'Point'}"
"245347","{'COORDINATES': [-112.642, 37.497], 'TYPE': 'Point'}"
"257098","{'COORDINATES': [-113.4015589, 37.22258752], 'TYPE': 'Point'}"
"248867","{'COORDINATES': None, 'TYPE': '}"
"255278","{'COORDINATES': [-109.814209, 38.58429], 'TYPE': 'Point'}"
"233798","{'COORDINATES': [-111.1419444, 39.4461111], 'TYPE': 'Point'}"
"247164","{'COORDINATES': None, 'TYPE': '}"
"247011","{'COORDINATES': [-110.814763, 40.846399], 'TYPE': 'Point'}"
"231902","{'COORDINATES': [-109.4241667, 40.9344444], 'TYPE': 'Point'}"
"245228","{'COORDINATES': [-114.42193, 43.789216], 'TYPE': 'Point'}"
"243878","{'COORDINATES': [-114.977029, 41.11137], 'TYPE': 'Point'}"
"236578","{'COORDINATES': [-109.623593, 40.742166], 'TYPE': 'Point'}"
"257057","{'COORDINATES': [-113.2267214, 37.16240722], 'TYPE': 'Point'}"
"232122","{'COORDINATES': [-112.5855556, 37.7466667], 'TYPE': 'Point'}"
"256908","{'COORDINATES': [-110.8115833, 39.63106111], 'TYPE': 'Point'}"
"235138","{'COORDINATES': [-112.489831, 38.26139], 'TYPE': 'Point'}"
"251837","{'COORDINATES': [-109.8049389, 38.6358139], 'TYPE': 'Point'}"
"257227","{'COORDINATES': [-113.194404, 37.138957], 'TYPE': 'Point'}"
"257219","{'COORDINATES': [-113.0242225, 37.07461336], 'TYPE': 'Point'}"
"257101","{'COORDINATES': [-113.4031834, 37.22590068], 'TYPE': 'Point'}"
"257180","{'COORDINATES': [-112.838915, 37.38525625], 'TYPE': 'Point'}"
"202158","{'COORDINATES': [-109.5339, 38.6102], 'TYPE': 'Point'}"
"233214","{'COORDINATES': [-109.8083333, 40.8633333], 'TYPE': 'Point'}"
"245192","{'COORDINATES': None, 'TYPE': '}"
"243975","{'COORDINATES': [-119.723082, 38.631372], 'TYPE': 'Point'}"
"231917","{'COORDINATES': [-111.3297222, 38.1627778], 'TYPE': 'Point'}"
"247042","{'COORDINATES': [-110.853735, 40.830388], 'TYPE': 'Point'}"
"239072","{'COORDINATES': [-111.2053835, 43.57278356], 'TYPE': 'Point'}"
"273759","{'COORDINATES': [-112.7742806, 37.5183833], 'TYPE': 'Point'}"
"239107","{'COORDINATES': None, 'TYPE': '}"
"257181","{'COORDINATES': [-112.8334023, 37.33530924], 'TYPE': 'Point'}"
"247167","{'COORDINATES': None, 'TYPE': '}"
"10283829","{'COORDINATES': [-120.94796, 45.33628], 'TYPE': 'Point'}"
"257052","{'COORDINATES': [-113.2783713, 37.18314215], 'TYPE': 'Point'}"
"257246","{'COORDINATES': [-110.6650111, 39.08146111], 'TYPE': 'Point'}"
"233978","{'COORDINATES': [-111.4463889, 42.1136111], 'TYPE': 'Point'}"
"257053","{'COORDINATES': [-113.2419211, 37.13933402], 'TYPE': 'Point'}"
"257043","{'COORDINATES': [-110.8018111, 38.69613611], 'TYPE': 'Point'}"
"272101","{'COORDINATES': [-112.367053, 39.686978], 'TYPE': 'Point'}"
"234745","{'COORDINATES': [-109.9416667, 39.8336111], 'TYPE': 'Point'}"
"243876","{'COORDINATES': [-115.234035, 36.245401], 'TYPE': 'Point'}"
"257234","{'COORDINATES': [-113.2174533, 37.14067149], 'TYPE': 'Point'}"
"251834","{'COORDINATES': [-109.3075889, 38.8104694], 'TYPE': 'Point'}"
"257037","{'COORDINATES': [-110.533525, 38.72888056], 'TYPE': 'Point'}"
"250037","{'COORDINATES': [-111.2972389, 39.3014917], 'TYPE': 'Point'}"
"255308","{'COORDINATES': [-109.20704, 38.43353], 'TYPE': 'Point'}"
"236559","{'COORDINATES': None, 'TYPE': '}"
"248581","{'COORDINATES': [-115.1537, 41.5033], 'TYPE': 'Point'}"
"245304","{'COORDINATES': None, 'TYPE': '}"
"257097","{'COORDINATES': [-113.3994136, 37.210368], 'TYPE': 'Point'}"
"235070","{'COORDINATES': [-111.482, 38.483], 'TYPE': 'Point'}"
"233855","{'COORDINATES': [-111.4947222, 42.2075], 'TYPE': 'Point'}"
"231923","{'COORDINATES': [-111.2594444, 39.6455556], 'TYPE': 'Point'}"
"257154","{'COORDINATES': [-111.99058, 38.20928], 'TYPE': 'Point'}"
"257095","{'COORDINATES': [-113.3966827, 37.2092026], 'TYPE': 'Point'}"
"251535","{'COORDINATES': [-109.7600389, 38.1687861], 'TYPE': 'Point'}"
"10048852","{'COORDINATES': [-111.249677, 39.522732], 'TYPE': 'Point'}"
"257116","{'COORDINATES': [-113.969891, 38.913133], 'TYPE': 'Point'}"
"234308","{'COORDINATES': [-111.5188889, 38.3416667], 'TYPE': 'Point'}"
"256895","{'COORDINATES': [-109.108704, 39.156677], 'TYPE': 'Point'}"
"234315","{'COORDINATES': [-109.6741667, 40.7547222], 'TYPE': 'Point'}"
"247162","{'COORDINATES': None, 'TYPE': '}"
"257035","{'COORDINATES': [-110.4639444, 38.85736944], 'TYPE': 'Point'}"
"233795","{'COORDINATES': [-110.8866667, 40.5541667], 'TYPE': 'Point'}"
"251579","{'COORDINATES': [-109.745507, 40.878824], 'TYPE': 'Point'}"
"257174","{'COORDINATES': [-113.3863454, 37.22915086], 'TYPE': 'Point'}"
"236577","{'COORDINATES': [-109.615406, 40.702305], 'TYPE': 'Point'}"
"231910","{'COORDINATES': [-110.6380556, 40.5352778], 'TYPE': 'Point'}"
"251941","{'COORDINATES': [-109.6122222, 37.2630556], 'TYPE': 'Point'}"
"245210","{'COORDINATES': [-113.319767, 41.952848], 'TYPE': 'Point'}"
"256906","{'COORDINATES': [-109.247925, 38.924316], 'TYPE': 'Point'}"
"271419","{'COORDINATES': None, 'TYPE': '}"
"257056","{'COORDINATES': [-113.271404, 37.13568119], 'TYPE': 'Point'}"
"231906","{'COORDINATES': [-109.6463889, 40.915], 'TYPE': 'Point'}"
"257048","{'COORDINATES': [-110.4922389, 39.01072222], 'TYPE': 'Point'}"
"233150","{'COORDINATES': [-111.6608333, 38.6236111], 'TYPE': 'Point'}"
"256993","{'COORDINATES': [-110.7708306, 38.88088889], 'TYPE': 'Point'}"
"231903","{'COORDINATES': [-109.4541667, 40.8927778], 'TYPE': 'Point'}"
"232409","{'COORDINATES': [-111.2941667, 39.7102778], 'TYPE': 'Point'}"
"243879","{'COORDINATES': [-114.977029, 41.11137], 'TYPE': 'Point'}"
"231924","{'COORDINATES': [-111.1588889, 39.5388889], 'TYPE': 'Point'}"
"257000","{'COORDINATES': [-113.3878847, 37.22884932], 'TYPE': 'Point'}"
"257133","{'COORDINATES': [-109.289501, 38.59855], 'TYPE': 'Point'}"
"234058","{'COORDINATES': [-112.1669444, 37.6344444], 'TYPE': 'Point'}"
"233846","{'COORDINATES': [-111.1680556, 39.5588889], 'TYPE': 'Point'}"
"232253","{'COORDINATES': [-111.2923, 39.2951], 'TYPE': 'Point'}"
"234265","{'COORDINATES': [-111.4565877, 38.463471], 'TYPE': 'Point'}"
"234122","{'COORDINATES': [-109.7241667, 40.9286111], 'TYPE': 'Point'}"
"273822","{'COORDINATES': [-112.7892361, 37.5212389], 'TYPE': 'Point'}"
"245319","{'COORDINATES': [-114.904765, 44.161685], 'TYPE': 'Point'}"
"231897","{'COORDINATES': [-109.5516667, 40.965], 'TYPE': 'Point'}"
"10074570","{'COORDINATES': [-111.336956, 38.10006], 'TYPE': 'Point'}"
"247367","{'COORDINATES': [-110.829319, 40.911892], 'TYPE': 'Point'}"
"257094","{'COORDINATES': [-113.4033116, 37.22465155], 'TYPE': 'Point'}"
"243874","{'COORDINATES': [-117.089309, 39.50153], 'TYPE': 'Point'}"
"257176","{'COORDINATES': [-112.8031469, 37.0245299], 'TYPE': 'Point'}"
"257229","{'COORDINATES': [-113.207924, 37.13842815], 'TYPE': 'Point'}"
"257220","{'COORDINATES': [-113.0310796, 37.14751415], 'TYPE': 'Point'}"
"235073","{'COORDINATES': [-111.75, 38.811], 'TYPE': 'Point'}"
"245189","{'COORDINATES': [-114.17011, 42.165809], 'TYPE': 'Point'}"
"252280","{'COORDINATES': [-109.674383, 38.205387], 'TYPE': 'Point'}"
"231916","{'COORDINATES': [-111.6936111, 37.9416667], 'TYPE': 'Point'}"
"256946","{'COORDINATES': [-110.2656333, 39.24897778], 'TYPE': 'Point'}"
"257092","{'COORDINATES': [-113.4020311, 37.210231], 'TYPE': 'Point'}"
"248861","{'COORDINATES': [-109.313792, 40.911781], 'TYPE': 'Point'}"
"245138","{'COORDINATES': [-114.8757944, 44.0010314], 'TYPE': 'Point'}"
"234294","{'COORDINATES': [-109.4416667, 40.7441667], 'TYPE': 'Point'}"
"257226","{'COORDINATES': [-113.1772179, 37.14441447], 'TYPE': 'Point'}"
"233823","{'COORDINATES': [-109.5494444, 40.8825], 'TYPE': 'Point'}"
"231901","{'COORDINATES': [-109.3572222, 40.9227778], 'TYPE': 'Point'}"
"256995","{'COORDINATES': [-113.62, 39.078], 'TYPE': 'Point'}"
"250039","{'COORDINATES': [-111.2510361, 39.5222167], 'TYPE': 'Point'}"
"251448","{'COORDINATES': [-121.7680556, 43.915], 'TYPE': 'Point'}"
"231908","{'COORDINATES': [-109.4391667, 40.9263889], 'TYPE': 'Point'}"
"239049","{'COORDINATES': [-111.1003, 43.1849], 'TYPE': 'Point'}"
"255118","{'COORDINATES': [-109.3517694, 38.7382889], 'TYPE': 'Point'}"
"232411","{'COORDINATES': [-111.4977778, 39.3269444], 'TYPE': 'Point'}"
"259557","{'COORDINATES': [-108.9907444, 40.5204583], 'TYPE': 'Point'}"
"256945","{'COORDINATES': [-110.6618278, 39.08013333], 'TYPE': 'Point'}"
"232414","{'COORDINATES': [-111.4552778, 39.1455556], 'TYPE': 'Point'}"
"256939","{'COORDINATES': [-110.42495, 38.943047], 'TYPE': 'Point'}"
"234317","{'COORDINATES': [-109.9125, 40.6625], 'TYPE': 'Point'}"
"231914","{'COORDINATES': [-112.2625, 37.6125], 'TYPE': 'Point'}"
"243880","{'COORDINATES': [-114.872365, 39.255005], 'TYPE': 'Point'}"
